test_id,src_node,dst_node,time_now,f_min_q016,key_counts,f_init_q016,decay_idx,arrival_rate_q8_8,qber_q016,distance_cost_q16_16,candidate_paths,candidate_lens,expected_selected_path_id,expected_best_weight,expected_bottleneck_fidelity,expected_valid_path,tolerance,intent
T001_normal_ring6,0,3,1289,55705,6|5|4|9|8|7|3|0,63569|62914|64224|64880|64224|63569|64880|64880,1|1|2|1|1|1|3|0,1200|1150|1000|1400|1300|1250|700|900,1311|1966|1311|655|1311|1311|655|655,1310720|1441792|1245184|1179648|1179648|1179648|1638400|655360,0-1-2-0|3-4-5-0|0-6-5-0|7-0-0-0,3|3|3|1,1,3665362,61612,1,0,normal best-path selection
T002_blocked_candidate,0,3,1374,56360,2|0|4|7|8|8|6|3,62258|62258|64224|64880|64224|63569|62914|64880,2|2|1|1|1|1|4|0,850|850|1100|1200|1250|1250|600|1300,1966|1966|1311|655|1311|1311|1966|655,1376256|1376256|1441792|1507328|1507328|1507328|1310720|1966080,0-1-2-0|3-4-5-0|0-6-5-0|7-0-0-0,3|3|3|1,3,1997214,64879,1,0,blocked edge rejection
T003_high_threshold,0,3,1323,60948,6|5|4|9|8|7|3|0,63569|62914|64224|64880|64224|63569|64880|64880,3|4|4|0|0|0|5|0,1200|1150|1000|1400|1300|1250|700|900,1311|1966|1311|655|1311|1311|655|655,1310720|1441792|1245184|1179648|1179648|1179648|1638400|655360,0-1-2-0|3-4-5-0|0-6-5-0|7-0-0-0,3|3|3|1,1,3617938,63568,1,0,threshold moves selection away from decayed path
T004_all_candidates_valid,0,5,1425,52428,8|8|8|8|4|4|2|2,64224|64224|64880|64880|62914|62914|62258|62258,0|0|0|0|1|1|2|2,1500|1500|1500|1500|1100|1100|900|900,655|655|655|655|1311|1311|1966|1966,983040|1048576|655360|655360|786432|786432|851968|851968,0-1-0-0|2-3-0-0|4-5-0-0|6-7-0-0,2|2|2|2,1,1348412,64879,1,0,all candidates valid; lower score wins
T005_no_valid_path,0,5,1306,62258,0|1|2|0|0|1|1|0,64880|52428|58982|64880|64880|55049|45874|64880,0|0|8|0|0|1|0|0,1500|1500|1500|1500|1500|1500|1500|1500,655|655|655|655|655|655|655|655,655360|655360|655360|655360|655360|655360|655360|655360,0-0-0-0|1-0-0-0|2-0-0-0|5-0-0-0,1|1|1|1,0,4294967295,0,0,0,no candidate is valid; no_path should assert
T006_equal_weight_tie,0,5,1357,52428,8|8|8|8|8|8|0|0,64224|64224|64224|64224|64224|64224|58982|58982,0|0|0|0|0|0|0|0,1200|1200|1200|1200|1200|1200|0|0,655|655|655|655|655|655|6554|6554,655360|655360|917504|917504|1310720|1310720|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,0,679454,64223,1,0,equal best score tie; earliest candidate must win
T007_low_key_penalty,0,5,1340,52428,1|8|3|6|0|0|0|0,64880|64880|64880|64880|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|655360|655360|655360|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,1,674206,64879,1,0,scarcity penalty should avoid key_count=1
T008_low_fidelity_penalty,0,5,1425,45874,8|8|8|8|0|0|0|0,58982|64880|62258|63569|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|655360|655360|655360|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,1,674206,64879,1,0,higher fidelity should reduce penalty
T009_high_qber_penalty,0,5,1374,45874,8|8|8|8|0|0|0|0,64224|64224|64224|64224|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,6554|655|3277|1966|6554|6554|6554|6554,655360|655360|655360|655360|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,1,679454,64223,1,0,lower QBER should reduce penalty
T010_distance_penalty,0,5,1357,45874,8|8|8|8|0|0|0|0,64224|64224|64224|64224|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,1966080|655360|1310720|1638400|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,1,679454,64223,1,0,shorter distance/cost should win
